,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_MADE_FLAG
89,Restricted Area,Center(C),0,0,-6,1
90,Above the Break 3,Right Side Center(RC),26,183,193,0
91,Right Corner 3,Right Side(R),23,231,4,0
92,Restricted Area,Center(C),0,0,-6,1
93,Restricted Area,Center(C),1,-13,11,0
94,Above the Break 3,Left Side Center(LC),24,-100,228,1
95,In The Paint (Non-RA),Center(C),4,43,22,0
96,Right Corner 3,Right Side(R),22,227,32,0
97,Restricted Area,Center(C),0,0,-6,0
98,Restricted Area,Center(C),2,20,15,0
99,Restricted Area,Center(C),2,25,16,1
100,Above the Break 3,Left Side Center(LC),25,-122,226,0
101,Restricted Area,Center(C),0,0,8,1
102,In The Paint (Non-RA),Center(C),4,41,11,0
103,Restricted Area,Center(C),3,-12,32,1
104,Restricted Area,Center(C),2,-23,-1,0
105,Restricted Area,Center(C),0,0,-6,0
106,Restricted Area,Center(C),1,1,14,1
107,Above the Break 3,Right Side Center(RC),25,202,156,0
108,Mid-Range,Right Side(R),11,114,6,0
109,Restricted Area,Center(C),2,28,8,1
110,Restricted Area,Center(C),0,0,-6,1
111,Mid-Range,Right Side(R),21,206,43,0
112,Restricted Area,Center(C),0,9,3,1
113,Above the Break 3,Center(C),24,58,237,0
114,Restricted Area,Center(C),0,8,5,1
115,Restricted Area,Center(C),0,0,-6,0
116,Restricted Area,Center(C),1,6,16,1
117,In The Paint (Non-RA),Center(C),4,11,43,1
118,Above the Break 3,Right Side Center(RC),26,165,203,1
119,Restricted Area,Center(C),0,0,-6,1
120,Above the Break 3,Right Side Center(RC),27,170,210,1
121,Above the Break 3,Center(C),27,6,273,0
122,Above the Break 3,Right Side Center(RC),26,106,246,1
123,Restricted Area,Center(C),0,0,-6,0
124,Restricted Area,Center(C),0,0,-6,0
125,Restricted Area,Center(C),2,-17,11,1
126,Restricted Area,Center(C),0,-3,-2,1
127,Above the Break 3,Left Side Center(LC),26,-109,242,0
128,Restricted Area,Center(C),1,9,5,1
129,Restricted Area,Center(C),3,-22,21,1
130,Restricted Area,Center(C),0,5,8,1
131,In The Paint (Non-RA),Center(C),4,4,41,0
132,Mid-Range,Right Side(R),11,103,39,0
133,Above the Break 3,Right Side Center(RC),25,96,237,1
134,Above the Break 3,Right Side Center(RC),27,130,245,0
135,Restricted Area,Center(C),0,1,-1,1
136,Above the Break 3,Center(C),26,43,263,0
137,In The Paint (Non-RA),Center(C),5,56,15,0
138,Restricted Area,Center(C),0,0,-6,1
139,In The Paint (Non-RA),Center(C),4,40,21,0
140,Above the Break 3,Center(C),26,-13,262,0
141,Restricted Area,Center(C),1,15,10,0
142,Restricted Area,Center(C),0,0,-6,1
143,In The Paint (Non-RA),Center(C),8,8,87,0
144,Above the Break 3,Center(C),24,7,247,0
145,Restricted Area,Center(C),2,16,13,1
146,Restricted Area,Center(C),1,11,10,1
147,Restricted Area,Center(C),0,0,-6,1
148,Restricted Area,Center(C),1,14,10,0
149,Above the Break 3,Left Side Center(LC),25,-234,96,0
150,Restricted Area,Center(C),0,0,-6,0
151,Restricted Area,Center(C),2,-22,-4,0
152,Restricted Area,Center(C),0,0,-6,0
153,Above the Break 3,Center(C),26,23,266,0
154,Right Corner 3,Right Side(R),25,250,17,1
155,Restricted Area,Center(C),2,-15,15,1
156,Restricted Area,Center(C),1,-13,8,1
157,Above the Break 3,Center(C),27,71,264,1
158,Above the Break 3,Right Side Center(RC),25,136,216,0
159,Above the Break 3,Right Side Center(RC),25,89,241,1
160,Above the Break 3,Center(C),26,-8,264,0
161,Restricted Area,Center(C),2,-2,29,0
162,Above the Break 3,Left Side Center(LC),26,-92,247,0
163,Right Corner 3,Right Side(R),23,235,10,0
164,Above the Break 3,Left Side Center(LC),26,-96,246,1
165,Above the Break 3,Right Side Center(RC),26,191,187,0
166,In The Paint (Non-RA),Center(C),4,27,37,0
167,Restricted Area,Center(C),0,4,4,1
168,Above the Break 3,Left Side Center(LC),24,-165,184,0
169,Restricted Area,Center(C),1,2,11,1
170,Above the Break 3,Right Side Center(RC),25,119,230,0
171,Restricted Area,Center(C),0,1,6,1
172,Right Corner 3,Right Side(R),23,235,20,0
173,Restricted Area,Center(C),0,0,-6,1
174,Restricted Area,Center(C),0,3,6,1
175,Restricted Area,Center(C),3,27,27,1
176,Above the Break 3,Right Side Center(RC),25,84,245,0
177,Restricted Area,Center(C),0,0,-6,0
178,Above the Break 3,Right Side Center(RC),27,138,235,0
179,Restricted Area,Center(C),0,3,1,1
180,Restricted Area,Center(C),1,6,8,1
181,Restricted Area,Center(C),0,1,-2,1
182,Mid-Range,Right Side(R),8,81,9,1
183,Restricted Area,Center(C),0,-5,-1,1
184,Above the Break 3,Left Side Center(LC),26,-165,201,0
185,Restricted Area,Center(C),0,-5,4,0
186,Right Corner 3,Right Side(R),23,232,37,0
187,Restricted Area,Center(C),0,1,-5,1
188,Above the Break 3,Left Side Center(LC),28,-165,236,0
189,Restricted Area,Center(C),3,30,21,0
190,Restricted Area,Center(C),0,-6,4,1
191,Restricted Area,Center(C),1,4,13,1
192,In The Paint (Non-RA),Left Side(L),8,-49,74,0
193,Restricted Area,Center(C),0,6,4,1
194,Mid-Range,Left Side(L),22,-183,125,1
195,Above the Break 3,Right Side Center(RC),25,93,242,1
196,Above the Break 3,Left Side Center(LC),28,-134,248,0
197,Restricted Area,Center(C),1,-19,5,0
198,Above the Break 3,Right Side Center(RC),28,163,236,0
199,Restricted Area,Center(C),0,9,3,0
200,In The Paint (Non-RA),Center(C),6,39,47,1
201,Above the Break 3,Right Side Center(RC),27,137,235,0
202,Restricted Area,Center(C),0,2,4,1
203,Restricted Area,Center(C),1,-11,4,1
204,Above the Break 3,Right Side Center(RC),26,179,191,0
205,Restricted Area,Center(C),0,-6,1,1
206,Above the Break 3,Center(C),26,11,262,1
207,Above the Break 3,Right Side Center(RC),29,148,252,0
208,Restricted Area,Center(C),2,-9,22,0
209,Restricted Area,Center(C),2,11,21,0
210,Restricted Area,Center(C),0,0,-6,1
211,In The Paint (Non-RA),Center(C),13,66,122,0
212,In The Paint (Non-RA),Center(C),6,-29,63,1
213,Above the Break 3,Center(C),25,-74,241,0
214,Above the Break 3,Right Side Center(RC),25,109,227,0
215,Restricted Area,Center(C),0,8,1,0
216,Restricted Area,Center(C),0,5,-1,1
217,Restricted Area,Center(C),0,2,2,1
218,Above the Break 3,Center(C),26,-10,264,0
219,Restricted Area,Center(C),1,8,16,1
220,Above the Break 3,Right Side Center(RC),25,109,226,0
221,Above the Break 3,Center(C),24,18,246,0
222,Restricted Area,Center(C),0,6,5,1
223,Restricted Area,Center(C),3,-38,5,0
224,Above the Break 3,Right Side Center(RC),27,122,243,0
225,Restricted Area,Center(C),0,0,-6,1
226,Restricted Area,Center(C),1,7,10,1
227,Above the Break 3,Right Side Center(RC),27,137,235,1
228,Above the Break 3,Right Side Center(RC),27,137,243,0
229,Restricted Area,Center(C),0,0,-6,0
230,Above the Break 3,Left Side Center(LC),25,-192,169,1
231,Restricted Area,Center(C),0,0,-6,1
232,Above the Break 3,Right Side Center(RC),27,165,216,1
233,Above the Break 3,Center(C),26,-42,260,0
234,Restricted Area,Center(C),0,0,-6,0
235,Restricted Area,Center(C),1,2,11,1
236,Above the Break 3,Right Side Center(RC),27,134,239,0
237,Restricted Area,Center(C),0,0,-6,0
238,Above the Break 3,Right Side Center(RC),26,103,248,0
239,Restricted Area,Center(C),0,0,-6,1
240,Restricted Area,Center(C),1,-15,4,1
241,Above the Break 3,Center(C),24,74,235,1
242,Restricted Area,Center(C),0,0,-6,0
243,Left Corner 3,Left Side(L),22,-226,22,0
244,Left Corner 3,Left Side(L),23,-234,-5,0
245,Restricted Area,Center(C),0,0,3,0
246,Restricted Area,Center(C),0,-2,8,1
247,Restricted Area,Center(C),0,0,-6,1
248,Restricted Area,Center(C),1,2,14,1
249,Right Corner 3,Right Side(R),23,230,39,1
250,Above the Break 3,Left Side Center(LC),25,-103,237,0
251,Restricted Area,Center(C),0,0,-6,0
252,Restricted Area,Center(C),1,-2,18,0
253,In The Paint (Non-RA),Center(C),4,0,44,0
254,Above the Break 3,Right Side Center(RC),24,118,217,0
255,Above the Break 3,Right Side Center(RC),24,228,91,1
256,Restricted Area,Center(C),0,0,6,1
257,Above the Break 3,Left Side Center(LC),25,-198,156,0
258,Above the Break 3,Left Side Center(LC),24,-136,204,0
259,Above the Break 3,Right Side Center(RC),25,136,214,0
260,Above the Break 3,Center(C),24,-22,246,0
261,Above the Break 3,Center(C),24,-4,241,1
262,Above the Break 3,Center(C),25,21,258,1
263,Restricted Area,Center(C),2,25,5,1
264,Above the Break 3,Left Side Center(LC),26,-203,164,1
265,Above the Break 3,Right Side Center(RC),26,139,225,1
266,Above the Break 3,Right Side Center(RC),25,178,188,0
267,Restricted Area,Center(C),2,-20,18,1
268,Left Corner 3,Left Side(L),22,-228,23,0
269,Restricted Area,Center(C),2,25,11,0
270,In The Paint (Non-RA),Center(C),5,38,45,0
271,Restricted Area,Center(C),1,-4,19,1
272,Restricted Area,Center(C),0,-8,5,1
273,Right Corner 3,Right Side(R),22,226,34,1
274,Restricted Area,Center(C),1,9,9,1
275,Above the Break 3,Right Side Center(RC),24,171,171,0
276,Restricted Area,Center(C),1,-14,3,1
277,Above the Break 3,Right Side Center(RC),25,81,241,0
278,Restricted Area,Center(C),0,0,-6,1
279,Above the Break 3,Center(C),26,-11,263,0
280,Above the Break 3,Left Side Center(LC),25,-79,241,1
281,In The Paint (Non-RA),Center(C),15,68,138,0
282,Restricted Area,Center(C),0,0,-6,1
283,Above the Break 3,Left Side Center(LC),26,-96,247,1
284,Above the Break 3,Left Side Center(LC),26,-147,215,1
285,Above the Break 3,Left Side Center(LC),25,-215,130,1
286,Restricted Area,Center(C),2,-19,17,1
287,Mid-Range,Right Side(R),10,105,7,1
288,Above the Break 3,Left Side Center(LC),27,-141,241,0
289,Restricted Area,Center(C),0,0,-6,0
290,Restricted Area,Center(C),3,-23,25,0
291,Above the Break 3,Center(C),26,49,257,0
292,Restricted Area,Center(C),2,-20,8,0
293,Above the Break 3,Right Side Center(RC),25,109,236,1
294,Above the Break 3,Center(C),26,67,261,0
295,Restricted Area,Center(C),0,-4,8,0
296,Restricted Area,Center(C),0,5,8,1
297,In The Paint (Non-RA),Center(C),7,8,73,1
298,Restricted Area,Center(C),2,13,17,0
0,Restricted Area,Center(C),3,2,34,1
1,Above the Break 3,Center(C),26,3,264,0
2,Restricted Area,Center(C),3,32,22,0
3,Restricted Area,Center(C),0,0,-6,0
4,Restricted Area,Center(C),1,6,10,0
5,Above the Break 3,Right Side Center(RC),25,139,212,1
6,Restricted Area,Center(C),2,-22,12,1
7,Restricted Area,Center(C),2,21,11,0
8,Restricted Area,Center(C),1,-3,11,0
9,Restricted Area,Center(C),1,6,10,0
10,Restricted Area,Center(C),2,-15,21,0
11,Restricted Area,Center(C),0,3,8,1
12,In The Paint (Non-RA),Center(C),8,0,88,1
13,Restricted Area,Center(C),1,-4,17,0
0,Above the Break 3,Left Side Center(LC),24,-158,188,1
1,Restricted Area,Center(C),1,14,4,1
2,Restricted Area,Center(C),1,-14,4,1
3,Restricted Area,Center(C),1,-9,13,1
4,Above the Break 3,Right Side Center(RC),26,138,228,1
5,Restricted Area,Center(C),2,24,4,0
6,Restricted Area,Center(C),1,-14,13,0
7,Above the Break 3,Left Side Center(LC),27,-109,251,0
8,Restricted Area,Center(C),1,-15,13,1
9,Above the Break 3,Center(C),26,-42,260,1
10,Restricted Area,Center(C),2,-18,14,1
11,Restricted Area,Center(C),1,-9,11,1
12,Restricted Area,Center(C),1,-9,16,1
13,Restricted Area,Center(C),2,20,17,0
14,Above the Break 3,Right Side Center(RC),25,149,213,0
15,Left Corner 3,Left Side(L),22,-223,-18,1
16,Left Corner 3,Left Side(L),22,-223,-18,1
17,Restricted Area,Center(C),1,-10,11,0
18,In The Paint (Non-RA),Center(C),14,-73,131,0
19,Restricted Area,Center(C),3,-29,25,0
20,In The Paint (Non-RA),Center(C),5,45,34,0
21,Above the Break 3,Center(C),25,-26,249,1
22,Mid-Range,Center(C),15,-59,147,0
23,Above the Break 3,Right Side Center(RC),24,84,228,0
24,Left Corner 3,Left Side(L),23,-234,37,0
25,Restricted Area,Center(C),3,-1,33,0
26,Above the Break 3,Right Side Center(RC),25,105,233,0
27,Restricted Area,Center(C),2,-22,4,0
28,Above the Break 3,Left Side Center(LC),27,-87,257,1
29,Right Corner 3,Right Side(R),22,223,-5,1
30,Restricted Area,Center(C),1,16,-3,0
31,Above the Break 3,Right Side Center(RC),26,192,176,0
32,Above the Break 3,Left Side Center(LC),25,-142,212,0
33,Restricted Area,Center(C),0,5,7,0
34,Above the Break 3,Right Side Center(RC),25,101,232,0
35,Restricted Area,Center(C),1,-16,-3,0
36,Restricted Area,Center(C),1,-7,10,1
37,Above the Break 3,Right Side Center(RC),25,151,210,0
38,Right Corner 3,Right Side(R),23,236,16,1
39,Restricted Area,Center(C),1,-15,13,0
40,Restricted Area,Center(C),1,-18,1,1
41,Above the Break 3,Left Side Center(LC),26,-140,221,1
42,Above the Break 3,Center(C),25,-13,257,0
43,Restricted Area,Center(C),2,20,4,1
44,Restricted Area,Center(C),1,-16,-4,0
45,Above the Break 3,Right Side Center(RC),27,98,256,0
46,In The Paint (Non-RA),Center(C),4,-35,26,0
47,Above the Break 3,Right Side Center(RC),25,111,227,0
48,Restricted Area,Center(C),1,14,12,0
49,Above the Break 3,Center(C),25,4,256,0
50,Above the Break 3,Center(C),25,-58,252,0
51,Above the Break 3,Center(C),26,22,266,1
52,Restricted Area,Center(C),2,18,10,1
53,Above the Break 3,Left Side Center(LC),28,-139,248,0
54,Mid-Range,Left Side Center(LC),19,-130,148,0
55,Mid-Range,Center(C),19,57,183,0
56,Above the Break 3,Right Side Center(RC),28,144,245,0
57,Restricted Area,Center(C),1,-13,-8,1
58,Restricted Area,Center(C),1,-11,2,0
59,Left Corner 3,Left Side(L),22,-226,-11,1
60,Restricted Area,Center(C),1,-19,4,1
61,Restricted Area,Center(C),1,0,-10,1
62,Above the Break 3,Left Side Center(LC),32,-192,258,0
63,Restricted Area,Center(C),1,-13,14,0
64,Left Corner 3,Left Side(L),22,-228,1,0
65,Restricted Area,Center(C),1,-6,8,1
66,In The Paint (Non-RA),Right Side(R),14,76,127,0
67,Above the Break 3,Right Side Center(RC),25,103,238,0
68,Mid-Range,Center(C),15,62,143,0
69,Above the Break 3,Left Side Center(LC),28,-107,268,1
70,In The Paint (Non-RA),Center(C),4,39,29,0
71,Above the Break 3,Center(C),28,7,287,0
72,Restricted Area,Center(C),2,5,27,0
73,In The Paint (Non-RA),Center(C),13,-20,129,0
74,Above the Break 3,Right Side Center(RC),26,202,174,0
75,Right Corner 3,Right Side(R),23,231,3,1
76,Restricted Area,Center(C),2,15,16,0
77,Right Corner 3,Right Side(R),22,222,60,1
78,Above the Break 3,Center(C),25,57,253,1
79,In The Paint (Non-RA),Center(C),9,-30,88,0
80,Restricted Area,Center(C),1,-16,-8,0
81,Restricted Area,Center(C),2,-15,15,0
82,Mid-Range,Right Side Center(RC),19,125,153,0
83,Above the Break 3,Left Side Center(LC),26,-114,236,0
84,Restricted Area,Center(C),1,-8,10,1
85,Restricted Area,Center(C),3,-32,-7,0
86,Above the Break 3,Left Side Center(LC),25,-187,176,0
87,Restricted Area,Center(C),1,16,4,0
88,Restricted Area,Center(C),1,18,-6,0
89,Left Corner 3,Left Side(L),23,-232,-10,1
90,Restricted Area,Center(C),2,23,14,0
91,Above the Break 3,Left Side Center(LC),26,-170,207,0
92,Above the Break 3,Left Side Center(LC),25,-101,232,1
93,Above the Break 3,Left Side Center(LC),27,-121,251,1
94,Above the Break 3,Right Side Center(RC),25,160,204,0
95,Above the Break 3,Right Side Center(RC),26,144,223,0
96,Right Corner 3,Right Side(R),22,227,-26,0
97,Mid-Range,Left Side(L),14,-87,115,0
98,Above the Break 3,Left Side Center(LC),26,-149,214,0
99,Above the Break 3,Center(C),25,70,248,0
100,Above the Break 3,Right Side Center(RC),25,96,238,1
101,In The Paint (Non-RA),Center(C),4,-25,37,1
102,Above the Break 3,Left Side Center(LC),27,-149,231,0
103,Restricted Area,Center(C),2,-20,12,0
104,Restricted Area,Center(C),3,22,27,1
105,Right Corner 3,Right Side(R),23,236,34,0
106,Above the Break 3,Right Side Center(RC),26,136,223,1
107,Mid-Range,Right Side Center(RC),17,108,138,0
108,Restricted Area,Center(C),0,-3,8,1
109,Above the Break 3,Left Side Center(LC),25,-178,182,1
110,Restricted Area,Center(C),1,9,10,1
111,Mid-Range,Right Side Center(RC),22,160,160,0
112,Above the Break 3,Right Side Center(RC),33,112,316,1
113,Right Corner 3,Right Side(R),22,226,38,0
114,Above the Break 3,Left Side Center(LC),25,-136,220,0
115,In The Paint (Non-RA),Center(C),5,-5,53,0
116,Left Corner 3,Left Side(L),22,-225,26,0
117,In The Paint (Non-RA),Center(C),5,32,41,0
118,Above the Break 3,Left Side Center(LC),27,-196,190,0
119,Restricted Area,Center(C),3,-30,26,0
120,In The Paint (Non-RA),Center(C),13,24,136,0
121,Above the Break 3,Center(C),30,78,294,1
122,Above the Break 3,Right Side Center(RC),27,90,258,0
123,Restricted Area,Center(C),3,10,37,1
124,Restricted Area,Center(C),2,9,18,1
125,Above the Break 3,Left Side Center(LC),25,-91,239,0
126,Restricted Area,Center(C),3,30,16,0
127,Above the Break 3,Left Side Center(LC),26,-157,210,0
128,Restricted Area,Center(C),3,32,16,1
129,Restricted Area,Center(C),2,-13,24,0
130,Restricted Area,Center(C),0,0,4,1
131,Restricted Area,Center(C),3,-29,8,0
132,In The Paint (Non-RA),Center(C),4,12,46,0
133,Restricted Area,Center(C),2,14,16,1
134,Mid-Range,Center(C),18,-33,177,0
135,Restricted Area,Center(C),1,16,11,0
136,In The Paint (Non-RA),Center(C),4,-30,30,0
137,Above the Break 3,Left Side Center(LC),28,-160,239,0
138,Restricted Area,Center(C),1,1,11,1
139,Above the Break 3,Right Side Center(RC),26,201,171,1
140,Above the Break 3,Left Side Center(LC),26,-93,245,0
141,Restricted Area,Center(C),1,2,13,1
142,Restricted Area,Center(C),1,3,15,1
143,Restricted Area,Center(C),1,2,17,1
144,Restricted Area,Center(C),1,11,16,0
145,Left Corner 3,Left Side(L),22,-227,15,0
146,In The Paint (Non-RA),Center(C),6,51,36,0
147,Above the Break 3,Center(C),25,37,256,1
148,Restricted Area,Center(C),0,4,4,1
149,Above the Break 3,Center(C),25,52,252,1
150,Restricted Area,Center(C),0,6,4,0
151,Left Corner 3,Left Side(L),23,-231,31,1
152,Restricted Area,Center(C),1,-12,0,1
153,Restricted Area,Center(C),0,-8,-1,0
154,Restricted Area,Center(C),3,24,26,0
155,Above the Break 3,Center(C),27,-41,271,0
156,Restricted Area,Center(C),2,18,16,1
157,In The Paint (Non-RA),Center(C),11,27,111,0
158,Above the Break 3,Left Side Center(LC),25,-217,132,1
159,Above the Break 3,Center(C),27,-68,267,1
160,Above the Break 3,Center(C),26,-6,262,1
161,Above the Break 3,Right Side Center(RC),25,202,159,0
162,Above the Break 3,Right Side Center(RC),24,209,128,0
163,Restricted Area,Center(C),1,4,17,1
164,Restricted Area,Center(C),3,35,18,0
165,Above the Break 3,Right Side Center(RC),25,133,220,0
166,Restricted Area,Center(C),0,5,5,1
167,Above the Break 3,Center(C),28,57,278,0
168,Above the Break 3,Right Side Center(RC),26,183,195,0
169,Restricted Area,Center(C),1,8,16,1
170,Above the Break 3,Left Side Center(LC),26,-181,197,1
171,Above the Break 3,Left Side Center(LC),27,-157,227,0
172,Above the Break 3,Center(C),26,42,259,0
173,Restricted Area,Center(C),0,-3,-3,1
174,Above the Break 3,Center(C),26,32,259,0
175,In The Paint (Non-RA),Center(C),6,41,50,0
176,Backcourt,Back Court(BC),52,-46,519,0
177,Restricted Area,Center(C),1,14,2,0
178,In The Paint (Non-RA),Center(C),4,11,46,0
179,Above the Break 3,Right Side Center(RC),25,193,162,1
180,Right Corner 3,Right Side(R),23,237,8,1
181,Restricted Area,Center(C),1,-2,11,0
182,Above the Break 3,Right Side Center(RC),28,168,230,0
183,Restricted Area,Center(C),1,-10,8,0
184,Restricted Area,Center(C),1,19,4,1
185,Above the Break 3,Center(C),25,68,241,0
186,Above the Break 3,Right Side Center(RC),24,125,212,0
187,Restricted Area,Center(C),2,-23,6,0
188,Restricted Area,Center(C),1,11,1,1
189,Above the Break 3,Center(C),24,-12,244,1
190,Restricted Area,Center(C),1,11,-3,0
191,Restricted Area,Center(C),1,11,5,1
192,Above the Break 3,Center(C),26,52,264,0
193,Restricted Area,Center(C),0,2,8,1
194,Restricted Area,Center(C),2,5,26,1
195,In The Paint (Non-RA),Center(C),4,34,25,1
196,In The Paint (Non-RA),Center(C),12,-46,115,0
197,In The Paint (Non-RA),Center(C),10,29,98,0
198,Above the Break 3,Right Side Center(RC),25,89,239,0
199,Restricted Area,Center(C),2,19,21,1
200,Restricted Area,Center(C),3,22,21,0
201,Restricted Area,Center(C),1,11,15,1
202,Restricted Area,Center(C),2,20,19,1
203,Above the Break 3,Right Side Center(RC),26,117,234,0
204,Restricted Area,Center(C),1,6,16,1
205,Above the Break 3,Right Side Center(RC),26,112,237,1
206,Left Corner 3,Left Side(L),23,-230,62,0
207,Restricted Area,Center(C),2,-3,20,0
208,Above the Break 3,Center(C),25,47,250,0
209,In The Paint (Non-RA),Center(C),6,-10,67,1
210,Restricted Area,Center(C),1,0,14,1
211,Above the Break 3,Center(C),25,-62,251,0
212,Restricted Area,Center(C),2,-13,25,1
213,Restricted Area,Center(C),2,-6,25,0
214,Left Corner 3,Left Side(L),23,-231,-1,0
215,Restricted Area,Center(C),2,3,27,0
216,Above the Break 3,Right Side Center(RC),25,180,178,0
217,Restricted Area,Center(C),1,8,16,0
218,Left Corner 3,Left Side(L),22,-229,5,0
219,Above the Break 3,Left Side Center(LC),29,-176,233,1
220,Restricted Area,Center(C),2,-6,20,0
221,Restricted Area,Center(C),1,-3,17,0
222,Restricted Area,Center(C),2,-2,20,0
223,Restricted Area,Center(C),1,-1,15,1
224,Restricted Area,Center(C),3,32,11,0
225,Above the Break 3,Right Side Center(RC),27,180,210,1
226,Above the Break 3,Center(C),27,84,264,1
227,Restricted Area,Center(C),1,5,16,1
228,Restricted Area,Center(C),2,12,16,1
229,Restricted Area,Center(C),2,22,14,0
230,Above the Break 3,Right Side Center(RC),27,201,185,0
231,Restricted Area,Center(C),0,-6,4,1
232,Mid-Range,Center(C),17,-52,167,1
233,Above the Break 3,Center(C),29,-65,285,0
234,Mid-Range,Right Side Center(RC),20,107,174,1
235,Restricted Area,Center(C),0,4,6,1
236,Above the Break 3,Left Side Center(LC),26,-101,247,0
237,Above the Break 3,Right Side Center(RC),25,116,228,1
238,In The Paint (Non-RA),Center(C),7,-5,71,0
239,Above the Break 3,Center(C),24,30,246,1
240,Restricted Area,Center(C),1,-14,10,1
241,Restricted Area,Center(C),1,18,1,1
242,Above the Break 3,Right Side Center(RC),24,231,89,0
243,Above the Break 3,Center(C),25,52,246,0
244,Above the Break 3,Right Side Center(RC),23,204,123,1
